Chromosome	Start	End	Strand	Gene	Transcription_Start_Site	Transcript_type
chr4	53436455	53446487	-	ZCCHC4	53436455	protein_coding
chr4	53446717	53468353	-	PI4K2B	53446717	protein_coding
chr4	53465264	53470137	+	LOC110484023	53465264	lncRNA
chr4	53471430	53496979	+	SEPSECS	53471430	
chr4	53519926	53539760	+	LGI2	53519926	protein_coding
chr4	53565497	53566755	-	LOC116183533	53565497	lncRNA
chr4	53566848	53618341	+	CCDC149	53566848	protein_coding
chr4	53619026	53620566	-	SOD3	53619026	protein_coding
chr4	53659804	53712474	+	DHX15	53659804	
chr4	53718802	54081204	+	PPARGC1A	53718802	protein_coding
chr4	54250570	54355747	-	LOC110484030	54250570	lncRNA
chr4	54403564	54458947	+	ADGRA3	54403564	protein_coding
chr4	54534844	54920728	+	KCNIP4	54534844	
chr4	54921744	54933249	-	PACRGL	54921744	protein_coding
chr4	54956900	55217845	-	SLIT2	54956900	protein_coding
chr4	55817853	55898219	+	LCORL	55817853	
chr4	55901313	55925969	-	NCAPG	55901313	protein_coding
chr4	55933414	55970917	+	FAM184B	55933414	protein_coding
chr4	55972376	55974333	-	MED28	55972376	protein_coding
chr4	55975388	55990208	-	LAP3	55975388	protein_coding
chr4	55993331	55999708	-	CLRN2	55993331	protein_coding
chr4	55999844	56009678	+	QDPR	55999844	
chr4	56034904	56399030	+	LDB2	56034904	
chr4	56461578	56511147	+	TAPT1	56461578	protein_coding
chr4	56524693	56601020	+	PROM1	56524693	protein_coding
chr4	56603230	56605242	+	FGFBP2	56603230	
chr4	56624266	56624982	+	FGFBP1	56624266	protein_coding
chr4	56639387	56667704	-	LOC110484008	56639387	
chr4	56680588	56698396	-	LOC110484039	56680588	protein_coding
chr4	56702234	56734487	+	FBXL5	56702234	protein_coding
chr4	56736299	56803332	-	LOC110484036	56736299	protein_coding
chr4	56893465	56944046	-	CPEB2	56893465	protein_coding
chr4	56943219	56944401	+	LOC110484058	56943219	lncRNA
chr4	56949098	56955893	+	LOC116183534	56949098	lncRNA
chr4	57398235	57400202	-	LOC116183576	57398235	lncRNA
chr4	57437846	57473708	+	BOD1L1	57437846	
chr4	57491063	57492393	+	NKX3-2	57491063	protein_coding
chr4	57517023	57579904	+	RAB28	57517023	protein_coding
chr4	58122723	58138923	+	HS3ST1	58122723	
chr4	58312737	58320331	-	LOC110484009	58312737	lncRNA
chr4	58312797	58338075	+	CLNK	58312797	protein_coding
chr4	58332597	58352757	-	ZNF518B	58332597	
chr4	58407707	58427081	+	WDR1	58407707	protein_coding
chr4	58474346	58552857	+	SLC2A9	58474346	protein_coding
chr4	58582612	58589427	-	DRD5	58582612	
chr4	58600873	58613335	-	OTOP1	58600873	protein_coding
chr4	58615067	58622743	-	TMEM128	58615067	protein_coding
chr4	58631798	58641540	-	LYAR	58631798	protein_coding
chr4	58641569	58659269	+	ZBTB49	58641569	
chr4	58676672	58699256	+	NSG1	58676672	protein_coding
chr4	58700072	58758128	-	STX18	58700072	protein_coding
chr4	58916331	58919214	+	MSX1	58916331	protein_coding
chr4	58990687	58994990	-	CYTL1	58990687	protein_coding
chr4	59020765	59189576	+	STK32B	59020765	protein_coding
chr4	59219865	59282298	-	EVC2	59219865	protein_coding
chr4	59282535	59331079	+	EVC	59282535	protein_coding
chr4	59336716	59385849	-	CRMP1	59336716	
chr4	59433744	59474027	-	C4H4orf50	59433744	
chr4	59474150	59619400	-	JAKMIP1	59474150	protein_coding
chr4	59626088	59632526	-	LOC110481863	59626088	lncRNA
chr4	59640987	59673232	+	WFS1	59640987	protein_coding
chr4	59681295	59878833	-	PPP2R2C	59681295	
chr4	59821530	59847089	+	LOC110481900	59821530	lncRNA
chr4	59881890	59908708	+	MAN2B2	59881890	protein_coding
chr4	59916119	59921199	+	LOC116183583	59916119	protein_coding
chr4	59922709	59935019	+	S100P	59922709	protein_coding
chr4	59939122	59960547	-	LOC116183537	59939122	lncRNA
chr4	59973063	60038533	+	KIAA0232	59973063	
chr4	60040290	60105237	+	TBC1D14	60040290	protein_coding
chr4	60106542	60112013	+	TADA2B	60106542	protein_coding
chr4	60112596	60120414	-	GRPEL1	60112596	protein_coding
chr4	60170376	60707702	+	SORCS2	60170376	protein_coding
chr4	60711760	60824601	-	AFAP1	60711760	protein_coding
chr4	60830026	60960988	-	ABLIM2	60830026	
chr4	60972886	61001431	+	SH3TC1	60972886	protein_coding
chr4	61031464	61056008	+	HTRA3	61031464	protein_coding
chr4	61112192	61143296	-	ACOX3	61112192	protein_coding
chr4	61143272	61164827	+	TRMT44	61143272	
chr4	61195149	61203539	+	LOC116183577	61195149	lncRNA
chr4	61274916	61290540	+	LOC110481881	61274916	lncRNA
chr4	61330879	61338236	+	GPR78	61330879	protein_coding
chr4	61353066	61386080	+	CPZ	61353066	protein_coding
chr4	61425766	61476811	-	LOC110481887	61425766	lncRNA
chr4	61566505	61567912	-	LOC110481874	61566505	protein_coding
chr4	61576309	61578981	-	LOC110481873	61576309	protein_coding
chr4	61753192	61763366	-	ADRA2C	61753192	
chr4	62037777	62038717	+	LOC110481878	62037777	protein_coding
chr4	62039543	62040723	-	LOC110481860	62039543	lncRNA
chr4	62040727	62054825	+	LRPAP1	62040727	
chr4	62060118	62120504	-	DOK7	62060118	protein_coding
chr4	62122307	62162695	-	HGFAC	62122307	protein_coding
chr4	62185319	62261360	-	RGS12	62185319	
chr4	62273460	62293736	-	MSANTD1	62273460	protein_coding
chr4	62331171	62411055	-	HTT	62331171	
chr4	62411908	62452278	-	GRK4	62411908	
chr4	62452512	62477944	+	NOP14	62452512	
chr4	62481123	62503145	+	MFSD10	62481123	protein_coding
chr4	62503407	62565778	-	ADD1	62503407	
chr4	62572275	62608658	-	SH3BP2	62572275	protein_coding
chr4	62657746	62665119	+	TNIP2	62657746	protein_coding
chr4	62697246	62702278	-	LOC110481896	62697246	lncRNA
chr4	62702711	62781977	-	FAM193A	62702711	
chr4	62805979	62822316	-	RNF4	62805979	
chr4	62826675	62872738	-	CFAP99	62826675	protein_coding
chr4	62876117	63023977	+	ZFYVE28	62876117	protein_coding
chr4	63090817	63131535	+	MXD4	63090817	
chr4	63132399	63145270	+	LOC110481888	63132399	protein_coding
chr4	63153214	63161078	+	LOC110473269	63153214	protein_coding
chr4	63169862	63227149	+	POLN	63169862	protein_coding
chr4	63258550	63298950	-	NAT8L	63258550	
chr4	63368231	63392635	+	LOC116183538	63368231	lncRNA
chr4	63392793	63405675	-	C4H4orf48	63392793	protein_coding
chr4	63412035	63423845	-	LOC116183539	63412035	
chr4	63447601	63474140	+	NELFA	63447601	
chr4	63480150	63494580	+	LOC110473270	63480150	protein_coding
chr4	63495457	63593813	-	NSD2	63495457	
chr4	63593534	63623718	+	LETM1	63593534	protein_coding
chr4	63643695	63653892	+	LOC110473264	63643695	protein_coding
chr4	63698705	63753897	-	FGFR3	63698705	protein_coding
chr4	63963438	63978159	+	LOC110473271	63963438	lncRNA
chr4	64172585	64194219	-	TACC3	64172585	protein_coding
chr4	64193857	64203892	+	TMEM129	64193857	
chr4	64206378	64208621	+	LOC110473272	64206378	protein_coding
chr4	64220091	64224434	+	LOC110473273	64220091	lncRNA
chr4	64227235	64234383	+	SLBP	64227235	protein_coding
chr4	64266673	64299338	+	FAM53A	64266673	protein_coding
chr4	64362825	64409684	+	LOC110473294	64362825	lncRNA
chr4	64732434	64779500	-	UVSSA	64732434	protein_coding
chr4	64783748	64789983	+	LOC116183540	64783748	lncRNA
chr4	64794259	64843798	-	MAEA	64794259	
chr4	64844335	65076749	+	CTBP1	64844335	protein_coding
chr4	65209831	65215693	+	SPON2	65209831	protein_coding
chr4	65220272	65225433	+	LOC110473276	65220272	protein_coding
chr4	65228679	65245893	+	RNF212	65228679	protein_coding
chr4	65378534	65549925	-	FGFRL1	65378534	
chr4	65639987	65665100	+	ATOH8	65639987	
chr4	65710623	65738562	-	ST3GAL5	65710623	
chr4	65763848	65793037	-	POLR1A	65763848	protein_coding
chr4	65793137	65810754	+	PTCD3	65793137	protein_coding
chr4	65800494	65800635	+	LOC116183626	65800494	snoRNA
chr4	65811094	65831849	-	IMMT	65811094	protein_coding
chr4	65833648	65837475	+	MRPL35	65833648	
chr4	65836480	65902219	-	REEP1	65836480	
chr4	65913597	65919023	-	LOC110473278	65913597	lncRNA
chr4	65921299	65950273	+	KDM3A	65921299	protein_coding
chr4	65952039	65985817	-	LOC110473306	65952039	
chr4	65991996	66017788	+	RMND5A	65991996	protein_coding
chr4	66028124	66031704	-	LOC110473279	66028124	lncRNA
chr4	66046134	66051528	-	CD8B	66046134	protein_coding
chr4	66088505	66113687	+	SMYD1	66088505	protein_coding
chr4	66115456	66118578	-	FABP1	66115456	protein_coding
chr4	66128613	66137290	+	THNSL2	66128613	protein_coding
chr4	66215240	66217847	-	FOXI3	66215240	protein_coding
chr4	66241258	66243260	+	LOC116183541	66241258	lncRNA
chr4	66245146	66248940	-	LOC116183542	66245146	lncRNA
chr4	66269688	66288765	+	LOC110473311	66269688	protein_coding
chr4	66284307	66326011	-	EIF2AK3	66284307	protein_coding
chr4	66332766	66350409	+	RPIA	66332766	protein_coding
chr4	66367179	66383658	+	SUCLG1	66367179	
chr4	66809754	66826651	+	LOC110473282	66809754	lncRNA
chr4	67503882	67505970	+	LOC116183578	67503882	lncRNA
chr4	67603006	68070356	-	CTNNA2	67603006	protein_coding
chr4	67759665	67772258	+	LRRTM1	67759665	
chr4	68070364	68078841	+	LOC110473268	68070364	lncRNA
chr4	68268388	68272471	+	LOC116183579	68268388	lncRNA
chr4	68555757	68636125	-	LOC116183543	68555757	lncRNA
chr4	68574447	68616406	+	ADRA1D	68574447	protein_coding
chr4	68637561	68689585	-	SMOX	68637561	protein_coding
chr4	68784271	68799129	+	RNF24	68784271	
chr4	68797294	68814998	-	PANK2	68797294	
chr4	68817453	68824687	-	MAVS	68817453	protein_coding
chr4	68827410	68956807	+	PTPRA	68827410	protein_coding
chr4	68950993	68952239	+	LOC116183544	68950993	protein_coding
chr4	68953078	68956800	+	MRPS26	68953078	protein_coding
chr4	68957139	68958557	-	LOC110473283	68957139	protein_coding
chr4	68960960	68963349	-	LOC110473284	68960960	protein_coding
chr4	68967963	68981544	-	FASTKD5	68967963	
chr4	68968482	68985573	-	UBOX5	68968482	protein_coding
chr4	68997284	69019527	-	LZTS3	68997284	
chr4	69020982	69070360	-	LOC110468696	69020982	protein_coding
chr4	69070384	69077502	+	LOC116183546	69070384	lncRNA
chr4	69114392	69148943	-	DDRGK1	69114392	protein_coding
chr4	69149099	69149653	+	LOC110468710	69149099	lncRNA
chr4	69228224	69237490	-	LOC110468709	69228224	
chr4	69249955	69342049	-	SLC4A11	69249955	protein_coding
chr4	69471563	69543762	-	C4H20orf194	69471563	
chr4	69571843	69594863	+	M1AP	69571843	protein_coding
chr4	69596096	69603117	-	DOK1	69596096	protein_coding
chr4	69605548	69620293	+	LOC110468741	69605548	protein_coding
chr4	69627066	69638656	+	LOXL3	69627066	protein_coding
chr4	69640667	69646306	-	HTRA2	69640667	protein_coding
chr4	69646608	69656412	+	AUP1	69646608	protein_coding
chr4	69656614	69658718	+	LOC110468706	69656614	protein_coding
chr4	69659396	69708140	-	LOC110468737	69659396	protein_coding
chr4	69678662	69686258	+	LOC116183545	69678662	protein_coding
chr4	69710996	69716794	+	DQX1	69710996	protein_coding
chr4	69723818	69726092	+	LOC110468736	69723818	protein_coding
chr4	69726821	69728226	-	LOC110468735	69726821	protein_coding
chr4	69729441	69733829	-	TLX2	69729441	protein_coding
chr4	69741692	69744941	+	PCGF1	69741692	protein_coding
chr4	69756707	69760514	+	LBX2	69756707	protein_coding
chr4	69761144	69766420	-	TTC31	69761144	protein_coding
chr4	69766645	69772863	+	CCDC142	69766645	protein_coding
chr4	69774298	69775128	+	LOC116183548	69774298	lncRNA
chr4	69776421	69779019	+	MOGS	69776421	protein_coding
chr4	69779280	69781066	-	WBP1	69779280	protein_coding
chr4	69782065	69785014	-	INO80B	69782065	
chr4	69819323	69829508	+	RTKN	69819323	protein_coding
chr4	69833292	69838529	-	LOC110468699	69833292	protein_coding
chr4	69842274	69847839	+	LOC110468730	69842274	protein_coding
chr4	69848946	69857317	-	WDR54	69848946	
chr4	69857603	69879882	-	LOC110468728	69857603	
chr4	69861622	69863686	+	LOC110468688	69861622	protein_coding
chr4	69882455	69884968	-	LOC116183547	69882455	lncRNA
chr4	69889607	69937823	+	DCTN1	69889607	protein_coding
chr4	69939243	69943005	+	NOP56	69939243	protein_coding
chr4	69941107	69941178	+	LOC116183630	69941107	snoRNA
chr4	69941973	69942041	+	LOC116183629	69941973	snoRNA
chr4	69943479	69957530	-	IDH3B	69943479	protein_coding
chr4	69958685	69985416	-	VPS16	69958685	
chr4	69985676	70014402	-	CPXM1	69985676	
chr4	70017921	70068175	-	ZNF638	70017921	protein_coding
chr4	70076613	70086710	+	PAIP2B	70076613	
chr4	70084807	70096580	-	NAGK	70084807	
chr4	70103634	70113438	+	TEX261	70103634	protein_coding
chr4	70119034	70144675	-	ATP6V1B1	70119034	protein_coding
chr4	70146353	70179371	-	VAX2	70146353	
chr4	70174331	70175693	-	LOC116183549	70174331	protein_coding
chr4	70198985	70228800	-	SIGLEC1	70198985	protein_coding
chr4	70263034	70280882	+	HSPA12B	70263034	protein_coding
chr4	70281589	70290675	-	C4H20orf27	70281589	protein_coding
chr4	70293800	70299820	-	SPEF1	70293800	protein_coding
chr4	70329797	70387825	+	LOC110468714	70329797	
chr4	70401262	70475143	+	DYSF	70401262	
chr4	70782375	70804327	-	LOC110468712	70782375	
chr4	70812565	70818021	+	LOC116183550	70812565	lncRNA
chr4	70835117	71148856	-	EXOC6B	70835117	
chr4	71155273	71161470	+	SPR	71155273	
chr4	71180732	71194698	+	EMX1	71180732	
chr4	71192721	71300222	-	SFXN5	71192721	
chr4	71305545	71310177	-	LOC116183585	71305545	
chr4	71313026	71368231	-	RAB11FIP5	71313026	
chr4	71381889	71400524	+	LOC110481559	71381889	protein_coding
chr4	71405267	71412039	+	SMYD5	71405267	protein_coding
chr4	71412330	71415370	-	PRADC1	71412330	protein_coding
chr4	71415582	71430024	+	CCT7	71415582	
chr4	71430758	71448326	-	FBXO41	71430758	protein_coding
chr4	71459633	71462233	-	EGR4	71459633	protein_coding
chr4	71486750	71490592	+	LOC110480053	71486750	lncRNA
chr4	71508296	71528729	+	LOC110480054	71508296	protein_coding
chr4	71531926	71548409	+	ALMS1	71531926	protein_coding
chr4	71555794	71587434	+	LOC110480055	71555794	protein_coding
chr4	71738778	71812365	+	LOC110480656	71738778	protein_coding
chr4	71807278	71813558	-	LOC110480657	71807278	lncRNA
chr4	71817528	71947879	-	ATRN	71817528	
chr4	71948018	71959572	+	LOC116183580	71948018	lncRNA
chrUn_NW_021819203v1	3143	59007	-	TYK2	3143	
chrUn_NW_021819203v1	50389	68747	-	LOC110483411	50389	protein_coding
chrUn_NW_021819203v1	71086	76114	-	LOC110483412	71086	protein_coding
chrUn_NW_021819420v1	6	1177	+	LOC110468120	6	protein_coding
chr17	4073	14025	+	LOC110481932	4073	
chr17	58984	74319	+	LOC116184237	58984	protein_coding
chr17	83548	84450	+	LOC110481934	83548	lncRNA
chr17	84675	85737	+	LOC110481933	84675	lncRNA
chr17	90412	113125	+	COL27A1	90412	protein_coding
chr17	114808	119368	+	LOC110480259	114808	protein_coding
chr17	119247	121368	+	LOC110480265	119247	protein_coding
chr17	121247	134777	+	SLC31A2	121247	
chr17	137068	169963	-	NIBAN2	137068	protein_coding
chr17	180348	207960	+	STXBP1	180348	protein_coding
chr17	211358	224532	-	AKNA	211358	protein_coding
chr17	211940	213597	-	LOC110480260	211940	lncRNA
chr17	215641	215982	-	LOC110480261	215641	lncRNA
chr17	225601	277747	-	WHRN	225601	protein_coding
chr17	304294	308626	+	ATP6V1G1	304294	
chr17	316583	328360	+	TMEM268	316583	protein_coding
chr17	330248	333142	-	LOC110480267	330248	lncRNA
chr17	402522	425877	-	TNFSF15	402522	
chr17	464939	485181	-	LOC110482295	464939	protein_coding
chr17	516551	590796	-	TNC	516551	protein_coding
chr17	973367	1154262	+	PAPPA	973367	
chr17	1154874	1496706	-	ASTN2	1154874	
chr17	1263179	1276979	+	TRIM32	1263179	
chr17	1535339	1536923	+	LOC116184234	1535339	lncRNA
chr17	1594136	1600364	+	TLR4	1594136	protein_coding
chr17	1629504	1632350	+	LOC116184223	1629504	lncRNA
chr17	1839406	1847849	-	LOC116184221	1839406	lncRNA
chr17	1961368	1963514	+	LOC116184218	1961368	lncRNA
chr17	2066507	2164297	-	BRINP1	2066507	
chr17	2656114	2727059	-	CDK5RAP2	2656114	protein_coding
chr17	2729430	2779748	-	MEGF9	2729430	
chr17	2780389	2785530	+	LOC110482290	2780389	lncRNA
chr17	2844260	2985470	+	LOC110482258	2844260	protein_coding
chr17	2988006	2990379	+	ORM2	2988006	protein_coding
chr17	2991331	2997206	+	LOC110482241	2991331	protein_coding
chr17	2999264	3025987	-	SLC25A25	2999264	protein_coding
chr17	3026755	3030746	+	NAIF1	3026755	
chr17	3036868	3078632	+	FAM102A	3036868	
chr17	3069648	3078634	+	DPM2	3069648	protein_coding
chr17	3080113	3082266	+	ST6GALNAC4	3080113	protein_coding
chr17	3083310	3087269	+	ST6GALNAC6	3083310	
chr17	3088913	3094211	+	AK1	3088913	protein_coding
chr17	3096770	3108173	+	ENG	3096770	protein_coding
chr17	3108025	3114285	-	FPGS	3108025	protein_coding
chr17	3114446	3119411	-	CDK9	3114446	protein_coding
chr17	3124076	3144471	+	SH2D3C	3124076	protein_coding
chr17	3145268	3149762	+	TOR2A	3145268	protein_coding
chr17	3149203	3149886	-	LOC116184232	3149203	lncRNA
chr17	3150177	3152630	+	PTRH1	3150177	protein_coding
chr17	3153876	3160872	-	CERCAM	3153876	protein_coding
chr17	3159247	3162761	+	LOC116184222	3159247	lncRNA
chr17	3165823	3188941	-	URM1	3165823	
chr17	3172457	3173867	+	LOC116184210	3172457	lncRNA
chr17	3195644	3205468	-	SLC27A4	3195644	protein_coding
chr17	3205599	3205687	+	TRNAR-UCU	3205599	tRNA
chr17	3206708	3212134	-	COQ4	3206708	protein_coding
chr17	3212857	3220789	+	TRUB2	3212857	protein_coding
chr17	3222410	3242281	+	GOLGA2	3222410	
chr17	3242827	3307184	-	DNM1	3242827	
chr17	3314130	3333341	+	CIZ1	3314130	protein_coding
chr17	3333717	3337919	-	C17H9orf16	3333717	protein_coding
chr17	3339359	3344899	+	PTGES2	3339359	protein_coding
chr17	3346409	3364195	+	ODF2	3346409	protein_coding
chr17	3364552	3374372	+	GLE1	3364552	protein_coding
chr17	3375620	3421075	+	SPTAN1	3375620	protein_coding
chr17	3421059	3427969	-	WDR34	3421059	protein_coding
chr17	3439584	3450992	+	SET	3439584	
chr17	3451140	3469279	+	PKN3	3451140	protein_coding
chr17	3469895	3475288	-	ZDHHC12	3469895	protein_coding
chr17	3477571	3496890	-	ZER1	3477571	protein_coding
chr17	3487786	3493511	+	LOC110482298	3487786	lncRNA
chr17	3497379	3508250	+	TBC1D13	3497379	protein_coding
chr17	3508498	3511097	+	ENDOG	3508498	protein_coding
chr17	3511702	3516570	-	SPOUT1	3511702	protein_coding
chr17	3517273	3527074	-	KYAT1	3517273	protein_coding
chr17	3529415	3550579	+	LRRC8A	3529415	protein_coding
chr17	3553247	3560107	+	PHYHD1	3553247	protein_coding
chr17	3560686	3565240	-	DOLK	3560686	protein_coding
chr17	3565269	3590411	+	NUP188	3565269	protein_coding
chr17	3592486	3616504	-	SH3GLB2	3592486	protein_coding
chr17	3616836	3632669	+	MIGA2	3616836	protein_coding
chr17	3635745	3652232	+	DOLPP1	3635745	protein_coding
chr17	3652327	3667661	-	CRAT	3652327	protein_coding
chr17	3667956	3703781	+	PTPA	3667956	
chr17	3703370	3706126	-	IER5L	3703370	
chr17	3804465	3805588	-	LOC116184212	3804465	lncRNA
chr17	3834174	3837361	+	NTMT1	3834174	protein_coding
chr17	3838078	3843248	-	ASB6	3838078	protein_coding
chr17	3849673	3878552	+	PRRX2	3849673	
chr17	3871883	3884472	-	PTGES	3871883	
chr17	3900365	3906569	+	LOC110482266	3900365	protein_coding
chr17	3908111	3912906	-	LOC110482267	3908111	protein_coding
chr17	3913621	3918763	-	C17H9orf78	3913621	protein_coding
chr17	3918902	3945757	+	USP20	3918902	
chr17	3937053	4033875	-	FNBP1	3937053	
chr17	4041841	4086948	+	GPR107	4041841	
chr17	4088255	4110093	+	NCS1	4088255	protein_coding
chr17	4112343	4145947	+	HMCN2	4112343	protein_coding
chr17	4147362	4174380	+	ASS1	4147362	protein_coding
chr17	4187939	4226555	+	FUBP3	4187939	protein_coding
chr17	4236440	4243446	+	PRDM12	4236440	protein_coding
chr17	4245396	4249623	+	EXOSC2	4245396	protein_coding
chr17	4254477	4567225	-	LOC110476962	4254477	protein_coding
chr17	4590162	4714885	-	EHMT1	4590162	
chr17	4714996	4717433	+	LOC110476955	4714996	protein_coding
chr17	4724701	4763428	-	ARRDC1	4724701	
chr17	4763499	4764282	+	LOC116184228	4763499	lncRNA
chr17	4779269	4785282	-	LOC110476953	4779269	protein_coding
chr17	4818440	4835785	-	NELFB	4818440	
chr17	4838128	4850418	+	LOC116184217	4838128	protein_coding
chr17	4857576	4875799	-	FAM166A	4857576	
chr17	4858642	4860965	+	TUBB4B	4858642	protein_coding
chr17	4878617	4890776	-	LOC110476954	4878617	
chr17	4878678	4946748	-	LOC110482829	4878678	protein_coding
chr17	4979059	4986265	-	TOR4A	4979059	protein_coding
chr17	4992927	5002898	-	ANAPC2	4992927	protein_coding
chr17	5005467	5025384	-	TPRN	5005467	protein_coding
chr17	5028620	5079106	-	NSMF	5028620	
chr17	5098470	5222459	-	PNPLA7	5098470	protein_coding
chr17	5222317	5242076	-	LOC110482406	5222317	protein_coding
chr17	5241338	5242285	+	MRPL41	5241338	protein_coding
chr17	5243064	5251849	-	DPH7	5243064	protein_coding
chr17	5255112	5266382	-	ZMYND19	5255112	protein_coding
chr17	5269192	5271798	-	RPL12	5269192	protein_coding
chr17	5270795	5270922	-	LOC116184241	5270795	snoRNA
chr17	5279671	5299755	+	LRSAM1	5279671	protein_coding
chr17	5302935	5315413	-	LOC110482403	5302935	protein_coding
chr17	5316894	5342135	-	LOC110472234	5316894	protein_coding
chr17	5343575	5369197	+	SLC31A1	5343575	
chr17	5370633	5371178	-	CDC26	5370633	protein_coding
chr17	5371456	5380311	+	PRPF4	5371456	protein_coding
chr17	5381157	5388163	-	WDR31	5381157	protein_coding
chr17	5391043	5400749	+	BSPRY	5391043	protein_coding
chr17	5402034	5403341	-	HDHD3	5402034	protein_coding
chr17	5403454	5411573	-	ALAD	5403454	protein_coding
chr17	5413000	5417197	-	POLE3	5413000	
chr17	5431431	5439058	+	LOC110472208	5431431	lncRNA
chr17	5445005	5500185	+	RGS3	5445005	protein_coding
chr17	5590668	5590740	-	TRNAT-AGU	5590668	tRNA
chr17	5697260	5846995	+	ZNF618	5697260	
chr17	5867253	5907229	+	GRIN1	5867253	protein_coding
chr17	5909637	5911368	-	LRRC26	5909637	protein_coding
chr17	5911823	5917536	-	RNF224	5911823	protein_coding
chr17	5923108	5924168	-	CYSRT1	5923108	protein_coding
chr17	5939374	5943896	+	RNF208	5939374	protein_coding
chr17	5952170	5966944	-	NDOR1	5952170	protein_coding
chr17	5967001	5967902	+	TMEM203	5967001	protein_coding
chr17	5974090	5982557	+	LOC110472232	5974090	protein_coding
chr17	5984249	5990955	-	LOC110472231	5984249	protein_coding
chr17	5991227	6000242	+	LOC110472229	5991227	protein_coding
chr17	6009334	6011360	-	LOC110472222	6009334	lncRNA
chr17	6018283	6268909	+	EXD3	6018283	protein_coding
chr17	6277133	6280454	+	NRARP	6277133	protein_coding
chr17	6291251	6297223	+	AMBP	6291251	protein_coding
chr17	6298263	6355384	+	RABL6	6298263	
chr17	6362388	6370422	+	AJM1	6362388	protein_coding
chr17	6371304	6374069	+	PHPT1	6371304	
chr17	6375457	6386213	+	MAMDC4	6375457	protein_coding
chr17	6387197	6390330	-	EDF1	6387197	protein_coding
chr17	6392144	6415536	+	TRAF2	6392144	
chr17	6416460	6429853	-	FBXW5	6416460	protein_coding
chr17	6430144	6433887	+	C8G	6430144	protein_coding
chr17	6436344	6438933	+	PTGDS	6436344	protein_coding
chr17	6439815	6442881	+	LOC110472218	6439815	protein_coding
chr17	6443778	6447672	+	LOC110472217	6443778	protein_coding
chr17	6473636	6484086	+	NPDC1	6473636	protein_coding
chr17	6488104	6493480	+	LOC110472216	6488104	
chr17	6496166	6497503	-	FUT7	6496166	protein_coding
chr17	6502028	6535877	+	ABCA2	6502028	protein_coding
chr17	6536029	6539043	+	CLIC3	6536029	protein_coding
chr17	6539915	6542251	-	LOC110472187	6539915	lncRNA
chr17	6542173	6543906	+	TMEM141	6542173	protein_coding
chr17	6545433	6556486	-	ENTPD2	6545433	protein_coding
chr17	6546234	6547426	+	LOC116184229	6546234	lncRNA
chr17	6565700	6583380	-	SAPCD2	6565700	
chr17	6579510	6589550	+	LOC116184231	6579510	lncRNA
chr17	6593200	6613087	+	UAP1L1	6593200	protein_coding
chr17	6597476	6614329	-	LOC110472188	6597476	lncRNA
chr17	6615053	6659508	+	MAN1B1	6615053	protein_coding
chr17	6651348	6653512	-	LOC116184230	6651348	lncRNA
chr17	6660299	6684019	-	DPP7	6660299	protein_coding
chr17	6690411	6699716	-	FCN2	6690411	protein_coding
chr17	6732070	6809473	+	ABL1	6732070	protein_coding
chr17	6814317	6814706	-	QRFP	6814317	protein_coding
chr17	6816623	6831886	-	FIBCD1	6816623	protein_coding
chr17	6831718	6833480	+	LOC116184219	6831718	lncRNA
chr17	6842875	6863520	+	LAMC3	6842875	protein_coding
chr17	6864039	6876172	+	AIF1L	6864039	protein_coding
chr17	6878429	6918975	+	NUP214	6878429	
chr17	6917659	6935933	-	FAM78A	6917659	
chr17	6940542	6955185	+	PLPP7	6940542	protein_coding
chr17	6969881	7016409	+	PRRC2B	6969881	protein_coding
chr17	7005724	7005806	+	LOC116184250	7005724	snoRNA
chr17	7017781	7030622	+	POMT1	7017781	
chr17	7031586	7036300	-	UCK1	7031586	protein_coding
chr17	7037785	7039144	+	PRRT1B	7037785	protein_coding
chr17	7040003	7124777	-	RAPGEF1	7040003	protein_coding
chr17	7164180	7248622	-	MED27	7164180	protein_coding
chr17	7277917	7326296	+	NTNG2	7277917	protein_coding
chr17	7329541	7358365	-	SETX	7329541	protein_coding
chr17	7361336	7370946	-	TTF1	7361336	protein_coding
chr17	7371382	7428252	+	CFAP77	7371382	protein_coding
chr17	7434154	7440353	+	BARHL1	7434154	protein_coding
chr17	7446013	7489923	-	DDX31	7446013	protein_coding
chr17	7490180	7500364	+	GTF3C4	7490180	
chr17	7502235	7567322	-	AK8	7502235	protein_coding
chr17	7522137	7524036	+	LOC116184209	7522137	lncRNA
chr17	7567478	7570199	+	SPACA9	7567478	protein_coding
chr17	7574723	7601684	-	TSC1	7574723	protein_coding
chr17	7605867	7616057	+	GFI1B	7605867	protein_coding
chr17	7626490	7631486	+	CEL	7626490	protein_coding
chr17	7631992	7639141	+	GTF3C5	7631992	protein_coding
chr17	7639721	7663361	-	RALGDS	7639721	protein_coding
chr17	7702432	7712586	-	GBGT1	7702432	protein_coding
chr17	7713331	7716059	-	SURF6	7713331	protein_coding
chr17	7716385	7722957	-	MED22	7716385	
chr17	7722995	7726766	+	RPL7A	7722995	protein_coding
chr17	7723783	7723855	+	LOC116184247	7723783	snoRNA
chr17	7724632	7724695	+	LOC116184249	7724632	snoRNA
chr17	7725009	7725086	+	LOC116184246	7725009	snoRNA
chr17	7725499	7725572	+	LOC116184240	7725499	snoRNA
